count,year,make,series,type,model,motor
149,2014,BMW,3 Series,Sedan  ,328i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
150,2014,BMW,3 Series,Sedan  ,335i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
151,2014,BMW,3 Series,Sedan  ,328i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
152,2014,BMW,3 Series,Sedan  ,335i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
153,2016,BMW,3 Series,Sedan  ,328i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
154,2016,BMW,3 Series,Sedan  ,328i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
155,2016,BMW,3 Series,Sedan  ,335i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
156,2016,BMW,3 Series,Sedan  ,335i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
157,2016,BMW,3 Series,Sedan  ,328i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
158,2016,BMW,3 Series,Sedan  ,328i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
159,2016,BMW,3 Series,Sedan  ,328i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
160,2016,BMW,3 Series,Sedan  ,328i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
161,2016,BMW,3 Series,Sedan  ,328i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
162,2016,BMW,3 Series,Sedan  ,328i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
163,2015,BMW,3 Series,Sedan  ,328i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
164,2015,BMW,3 Series,Sedan  ,328i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
165,2015,BMW,3 Series,Sedan  ,328i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
166,2015,BMW,3 Series,Sedan  ,328i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
167,2015,BMW,3 Series,Sedan  ,328i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
168,2015,BMW,3 Series,Sedan  ,328i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
169,2015,BMW,3 Series,Sedan  ,328i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
170,2015,BMW,3 Series,Sedan  ,328i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
171,2015,BMW,3 Series,Sedan  ,328i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
172,2017,BMW,3 Series,Sedan  ,340i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
173,2018,BMW,3 Series,Sedan  ,330i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
174,2018,BMW,3 Series,Sedan  ,330i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
175,2014,BMW,X6,Coupe  ,X6 M Sport ,MOTOR(4.4L 8cyl Turbo 6A)
176,2014,BMW,X6,Coupe  ,X6 M Sport ,MOTOR(4.4L 8cyl Turbo 6A)
177,2014,BMW,X6,Coupe  ,X6 M Sport ,MOTOR(4.4L 8cyl Turbo 6A)
178,2016,BMW,X6,Coupe  ,X6 M Sport ,MOTOR(4.4L 8cyl Turbo 8A)
179,2012,BMW,X6,Coupe  ,X6 M Sport ,MOTOR(4.4L 8cyl Turbo 6A)
180,2012,BMW,X6,Coupe  ,X6 M Sport ,MOTOR(4.4L 8cyl Turbo 6A)
181,2010,BMW,X6,Coupe  ,X6 M Sport ,MOTOR(4.4L 8cyl Turbo 6A)
182,2010,BMW,X6,Coupe  ,X6 M Sport ,MOTOR(4.4L 8cyl Turbo 6A)
183,2010,BMW,X6,Coupe  ,X6 M Sport ,MOTOR(4.4L 8cyl Turbo 6A)
184,2011,BMW,X6,Coupe  ,X6 M Sport ,MOTOR(4.4L 8cyl Turbo 6A)
185,2011,BMW,X6,Coupe  ,X6 M Sport ,MOTOR(4.4L 8cyl Turbo 6A)
186,2017,BMW,X6,Coupe  ,X6 M Sport ,MOTOR(4.4L 8cyl Turbo 8A)
187,2014,BMW,2 Series,Coupe  ,228i,MOTOR(2.0L 4cyl Turbo 8A)
188,2014,BMW,2 Series,Coupe  ,228i,MOTOR(2.0L 4cyl Turbo 8A)
189,2016,BMW,2 Series,Coupe  ,228i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
190,2016,BMW,2 Series,Coupe  ,228i ,MOTOR(2.0L 4cyl Turbo 8A)
191,2016,BMW,2 Series,Coupe  ,228i ,MOTOR(2.0L 4cyl Turbo 8A)
192,2016,BMW,2 Series,Coupe  ,228i,MOTOR(2.0L 4cyl Turbo 6M)
193,2016,BMW,2 Series,Coupe  ,228i ,MOTOR(2.0L 4cyl Turbo 8A)
194,2016,BMW,2 Series,Coupe  ,228i,MOTOR(2.0L 4cyl Turbo 6M)
195,2016,BMW,2 Series,Coupe  ,228i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
196,2016,BMW,2 Series,Coupe  ,228i,MOTOR(2.0L 4cyl Turbo 6M)
197,2016,BMW,2 Series,Coupe  ,228i,MOTOR(2.0L 4cyl Turbo 6M)
198,2016,BMW,2 Series,Coupe  ,228i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
199,2016,BMW,2 Series,Coupe  ,228i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
200,2016,BMW,2 Series,Convertible  ,228i ,MOTOR(2.0L 4cyl Turbo 8A)
201,2016,BMW,2 Series,Convertible  ,228i ,MOTOR(2.0L 4cyl Turbo 8A)
202,2016,BMW,2 Series,Convertible  ,228i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
203,2016,BMW,2 Series,Convertible  ,228i ,MOTOR(2.0L 4cyl Turbo 8A)
204,2016,BMW,2 Series,Coupe,M235i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
205,2016,BMW,2 Series,Coupe,M235i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
206,2016,BMW,2 Series,Coupe,M235i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
207,2015,BMW,2 Series,Coupe  ,228i,MOTOR(2.0L 4cyl Turbo 8A)
208,2015,BMW,2 Series,Coupe  ,228i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
209,2015,BMW,2 Series,Coupe  ,228i,MOTOR(2.0L 4cyl Turbo 8A)
210,2015,BMW,2 Series,Coupe  ,228i ,MOTOR(2.0L 4cyl Turbo 8A)
211,2015,BMW,2 Series,Convertible  ,228i,MOTOR(2.0L 4cyl Turbo 8A)
212,2015,BMW,2 Series,Convertible  ,228i xDrive ,MOTOR(2.0L 4cyl Turbo 8A)
213,2015,BMW,2 Series,Coupe,M235i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
214,2015,BMW,2 Series,Coupe,M235i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
215,2017,BMW,2 Series,Coupe  ,M240i,MOTOR(3.0L 6cyl Turbo 8A)
216,2017,BMW,2 Series,Coupe  ,M240i,MOTOR(3.0L 6cyl Turbo 8A)
217,2017,BMW,2 Series,Coupe  ,M240i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
218,2017,BMW,2 Series,Coupe  ,M240i xDrive ,MOTOR(3.0L 6cyl Turbo 8A)
219,2017,BMW,2 Series,Coupe  ,230i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
220,2017,BMW,2 Series,Coupe  ,230i ,MOTOR(2.0L 4cyl Turbo 8A)
221,2017,BMW,2 Series,Coupe  ,230i ,MOTOR(2.0L 4cyl Turbo 8A)
222,2017,BMW,2 Series,Convertible  ,230i xDrive  ,MOTOR(2.0L 4cyl Turbo 8A)
223,2017,BMW,2 Series,Convertible  ,230i ,MOTOR(2.0L 4cyl Turbo 8A)
224,2017,BMW,2 Series,Convertible  ,230i ,MOTOR(2.0L 4cyl Turbo 8A)
225,2018,BMW,2 Series,Coupe  ,M240i,MOTOR(3.0L 6cyl Turbo 8A)
226,2018,BMW,2 Series,Coupe  ,230i,MOTOR(2.0L 4cyl Turbo 8A)
227,2011,BMW,ActiveHybrid,Sedan  ,750i,MOTOR(4.4L 8cyl Turbo gas/electric hybrid 8A)
228,2014,BMW,6 Series,Convertible  ,650i xDrive ,MOTOR(4.4L 8cyl Turbo 8A)
229,2007,BMW,6 Series,Coupe  ,650i,MOTOR(4.8L 8cyl 6M)
230,2007,BMW,6 Series,Coupe  ,650i,MOTOR(4.8L 8cyl 6M)
231,2007,BMW,6 Series,Coupe  ,650i,MOTOR(4.8L 8cyl 6M)
232,2007,BMW,6 Series,Coupe  ,650i,MOTOR(4.8L 8cyl 6M)
233,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
234,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
235,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
236,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
237,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
238,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
239,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
240,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
241,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
242,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
243,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
244,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
245,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
246,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
247,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
248,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
249,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
250,2007,BMW,6 Series,Convertible  ,650i,MOTOR(4.8L 8cyl 6M)
251,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
252,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
253,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
254,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
255,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
256,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
257,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
258,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
259,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
260,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
261,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
262,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
263,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
264,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
265,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
266,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
267,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
268,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
269,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
270,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
271,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
272,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
273,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
274,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
275,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
276,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
277,2004,BMW,6 Series,Coupe  ,645Ci,MOTOR(4.4L 8cyl 6M)
278,2004,BMW,6 Series,Convertible  ,645Ci,MOTOR(4.4L 8cyl 6M)
279,2004,BMW,6 Series,Convertible  ,645Ci,MOTOR(4.4L 8cyl 6M)
280,2004,BMW,6 Series,Convertible  ,645Ci,MOTOR(4.4L 8cyl 6M)
281,2004,BMW,6 Series,Convertible  ,645Ci,MOTOR(4.4L 8cyl 6M)
